County,# Injury Deaths,County Value,Error Margin,Z-Score ,AIAN,Asian,Black,Hispanic,white
Yuma,44,88,64-118,-0.46,,,,,
Weld,1178,75,71-79,-0.89,100,34,73,60,82
Washington,35,143,99-198,1.43,,,,,
Teller,94,75,61-92,-0.87,,,,,
Summit,71,46,36-58,-1.87,,,,,
Sedgwick,14,121,66-203,0.69,,,,,
San Miguel,32,79,54-112,-0.75,,,,,
San Juan,,,,NR,,,,,
Saguache,40,119,85-162,0.62,,,,115,119
Routt,86,68,54-84,-1.13,,,,,
Rio Grande,86,152,122-188,1.74,,,,148,160
Rio Blanco,30,94,63-134,-0.24,,,,,
Pueblo,976,117,109-124,0.53,,,137,111,121
Prowers,50,83,61-109,-0.62,,,,65,90
Pitkin,67,75,58-95,-0.88,,,,,
Phillips,26,121,79-177,0.68,,,,,
Park,105,115,93-137,0.48,,,,,
Ouray,26,106,70-156,0.19,,,,,
Otero,95,104,84-127,0.1,,,,122,90
Morgan,144,101,84-117,-0.01,,,,62,130
Montrose,284,134,119-150,1.14,,,,75,153
Montezuma,173,131,112-151,1.03,206,,,108,123
Moffat,84,128,102-158,0.91,,,,,
Mineral,,,,NR,,,,,
Mesa,845,110,103-118,0.33,,,,68,119
Logan,101,92,74-110,-0.3,,,,55,105
Lincoln,26,92,60-135,-0.3,,,,,
Las Animas,118,164,135-194,2.17,,,,193,157
Larimer,1,209,69,65-73,-1.09,125,36,,53,73
Lake,34,86,60-121,-0.49,,,,,
La Plata,219,78,68-88,-0.78,129,,,75,73
Kit Carson,41,112,80-151,0.37,,,,,
Kiowa,,,,NR,,,,,
Jefferson,2347,81,78-84,-0.68,78,24,99,69,85
Jackson,,,,NR,,,,,
Huerfano,55,162,122-211,2.08,,,,191,155
Hinsdale,,,,NR,,,,,
Gunnison,72,84,66-106,-0.58,,,,125,82
Grand,66,85,66-109,-0.53,,,,,
Gilpin,19,62,37-97,-1.32,,,,,
Garfield,260,87,77-98,-0.47,,,,48,103
Fremont,269,113,99-126,0.4,,,,78,122
Elbert,88,67,54-83,-1.16,,,,,
El Paso,3569,101,97-104,-0.01,172,46,95,83,106
Eagle,156,57,48-66,-1.5,,,,42,64
Douglas,962,56,52-60,-1.54,,17,36,38,61
Dolores,14,135,74-227,1.18,,,,,
Denver,3049,85,82-88,-0.54,150,51,111,80,85
Delta,201,130,112-148,1.01,,,,55,144
Custer,37,150,106-207,1.67,,,,,
Crowley,32,110,75-155,0.31,,,,108,132
Costilla,29,152,102-218,1.73,,,,120,226
Conejos,58,142,108-183,1.4,,,,189,91
Clear Creek,39,81,58-111,-0.67,,,,,
Cheyenne,,,,0,,,,,
Chaffee,100,100,81-120,-0.02,,,,,
Broomfield,204,59,51-67,-1.44,,,,50,63
Boulder,1100,68,64-72,-1.13,,29,57,40,75
Bent,36,126,88-174,0.85,,,,152,122
Baca,24,134,86-200,1.15,,,,,
Archuleta,65,95,74-122,-0.19,,,,,
Arapahoe,2351,72,70-75,-0.97,101,38,70,53,83
Alamosa,82,100,79-124,-0.04,,,,110,99
Adams,2029,80,76-83,-0.73,125,40,91,62,95
