County,# Injury Deaths,County Value,AIAN,Asian,Black,Hispanic,white,,,
Yuma,44,88,,,,,,,,
Weld,1178,75,100,34,73,60,82,,,
Washington,35,143,,,,,,,,
Teller,94,75,,,,,,,,
Summit,71,46,,,,,,,,
Sedgwick,14,121,,,,,,,,
San Miguel,32,79,,,,,,,,
San Juan,,,,,,,,,,
Saguache,40,119,,,,115,119,,,
Routt,86,68,,,,,,,,
Rio Grande,86,152,,,,148,160,,,
Rio Blanco,30,94,,,,,,,,
Pueblo,976,117,,,137,111,121,,,
Prowers,50,83,,,,65,90,,,
Pitkin,67,75,,,,,,,,
Phillips,26,121,,,,,,,,
Park,105,115,,,,,,,,
Ouray,26,106,,,,,,,,
Otero,95,104,,,,122,90,,,
Morgan,144,101,,,,62,130,,,
Montrose,284,134,,,,75,153,,,
Montezuma,173,131,206,,,108,123,,,
Moffat,84,128,,,,,,,,
Mineral,,,,,,,,,,
Mesa,845,110,,,,68,119,,,
Logan,101,92,,,,55,105,,,
Lincoln,26,92,,,,,,,,
Las Animas,118,164,,,,193,157,,,
Larimer,1,209,-1.09,125,36,,53,,,73
Lake,34,86,,,,,,,,
La Plata,219,78,129,,,75,73,,,
Kit Carson,41,112,,,,,,,,
Kiowa,,,,,,,,,,
Jefferson,2347,81,78,24,99,69,85,,,
Jackson,,,,,,,,,,
Huerfano,55,162,,,,191,155,,,
Hinsdale,,,,,,,,,,
Gunnison,72,84,,,,125,82,,,
Grand,66,85,,,,,,,,
Gilpin,19,62,,,,,,,,
Garfield,260,87,,,,48,103,,,
Fremont,269,113,,,,78,122,,,
Elbert,88,67,,,,,,,,
El Paso,3569,101,172,46,95,83,106,,,
Eagle,156,57,,,,42,64,,,
Douglas,962,56,,17,36,38,61,,,
Dolores,14,135,,,,,,,,
Denver,3049,85,150,51,111,80,85,,,
Delta,201,130,,,,55,144,,,
Custer,37,150,,,,,,,,
Crowley,32,110,,,,108,132,,,
Costilla,29,152,,,,120,226,,,
Conejos,58,142,,,,189,91,,,
Clear Creek,39,81,,,,,,,,
Cheyenne,,,,,,,,,,
Chaffee,100,100,,,,,,,,
Broomfield,204,59,,,,50,63,,,
Boulder,1100,68,,29,57,40,75,,,
Bent,36,126,,,,152,122,,,
Baca,24,134,,,,,,,,
Archuleta,65,95,,,,,,,,
Arapahoe,2351,72,101,38,70,53,83,,,
Alamosa,82,100,,,,110,99,,,
Adams,2029,80,125,40,91,62,95,,,
